,name,proximal_neighborhood,map_neighborhood,lat,lng,distance,neighborhood,categories,address,labeledLatLngs,postalCode,cc,city,state,country,formattedAddress,crossStreet,id
3,Rhumba Night Club,,,40.847497,-73.90146999999999,3325,Fieldston,Nightclub,396 E Tremont Ave,"[{'label': 'display', 'lat': 40.847497, 'lng': -73.90146999999999}, {'label': 'entrance', 'lat': 40.847626, 'lng': -73.901387}]",10457,US,Bronx,NY,United States,"['396 E Tremont Ave', 'Bronx, NY 10457', 'United States']",,
0,Oasis HQ NightClub,,,40.89181900024414,-73.85859680175781,1026,Wakefield,Nightclub,4137 White Plains Rd,"[{'label': 'display', 'lat': 40.89181900024414, 'lng': -73.85859680175781}]",10466,US,Bronx,NY,United States,"['4137 White Plains Rd', 'Bronx, NY 10466', 'United States']",,
1,Masion Night Club,,,40.9087956,-73.8330844,3109,Co-op City,Music Venue,,"[{'label': 'display', 'lat': 40.9087956, 'lng': -73.8330844}]",,US,Mount Vernon,NY,United States,"['Mount Vernon, NY', 'United States']",,
2,Xpressions Night Club,,,40.87916325424417,-73.84338110156192,2929,Eastchester,Bar,3601 Boston Rd,"[{'label': 'display', 'lat': 40.87916325424417, 'lng': -73.84338110156192}]",10466,US,Bronx,NY,United States,"['3601 Boston Rd (at 222nd)', 'Bronx, NY 10466', 'United States']",at 222nd,
0,Oasis HQ NightClub,,,40.89181900024414,-73.85859680175781,2387,Wakefield,Nightclub,4137 White Plains Rd,"[{'label': 'display', 'lat': 40.89181900024414, 'lng': -73.85859680175781}]",10466,US,Bronx,NY,United States,"['4137 White Plains Rd', 'Bronx, NY 10466', 'United States']",,
1,Tantra Nightclub & Lounge,,,40.868988244852254,-73.91725842509227,3316,Co-op City,Nightclub,10th Ave & 4th St SW,"[{'label': 'display', 'lat': 40.868988244852254, 'lng': -73.91725842509227}]",,US,Calgary,NY,United States,"['10th Ave & 4th St SW', 'Calgary, NY', 'United States']",,
2,Xpressions Night Club,,,40.87916325424417,-73.84338110156192,3038,Eastchester,Bar,3601 Boston Rd,"[{'label': 'display', 'lat': 40.87916325424417, 'lng': -73.84338110156192}]",10466,US,Bronx,NY,United States,"['3601 Boston Rd (at 222nd)', 'Bronx, NY 10466', 'United States']",at 222nd,
0,Oasis HQ NightClub,,,40.89181900024414,-73.85859680175781,1203,Wakefield,Nightclub,4137 White Plains Rd,"[{'label': 'display', 'lat': 40.89181900024414, 'lng': -73.85859680175781}]",10466,US,Bronx,NY,United States,"['4137 White Plains Rd', 'Bronx, NY 10466', 'United States']",,
1,XL NEW YORK Nightclub,,,40.879381,-73.824627,2768,Co-op City,,,"[{'label': 'display', 'lat': 40.879381, 'lng': -73.824627}]",,US,Bronx,NY,United States,"['Bronx, NY', 'United States']",,
2,Xpressions Night Club,,,40.87916325424417,-73.84338110156192,1202,Eastchester,Bar,3601 Boston Rd,"[{'label': 'display', 'lat': 40.87916325424417, 'lng': -73.84338110156192}]",10466,US,Bronx,NY,United States,"['3601 Boston Rd (at 222nd)', 'Bronx, NY 10466', 'United States']",at 222nd,
